english,category,arabic
Effective tax rate,tax_zakat,معدل الضريبة الفعلي
Effective tax rate,tax_zakat,المعدل الضريبي الفعلي
Tax base,tax_zakat,الوعاء الضريبي
Tax base,tax_zakat,القاعدة الضريبية
Zakat base,tax_zakat,وعاء الزكاة
Zakat base,tax_zakat,الوعاء الزكوي
Zakat provision,tax_zakat,مخصص الزكاة
Zakat provision,tax_zakat,مخصص الزكاة الشرعية
Deferred tax movement,tax_zakat,الحركة في الضريبة المؤجلة
Deferred tax movement,tax_zakat,التغير في الضريبة المؤجلة
Tax expense,tax_zakat,مصروف الضريبة
Tax expense,tax_zakat,المصروف الضريبي
Taxable profit,tax_zakat,الربح الخاضع للضريبة
Taxable profit,tax_zakat,الأرباح الخاضعة للضريبة
Board of directors,audit_governance,مجلس الإدارة
Board of directors,audit_governance,أعضاء مجلس الإدارة
Chairman,audit_governance,رئيس مجلس الإدارة
Chairman,audit_governance,الرئيس
Vice Chairman,audit_governance,نائب رئيس مجلس الإدارة
Vice Chairman,audit_governance,نائب الرئيس
Chief Executive Officer,audit_governance,الرئيس التنفيذي
Chief Executive Officer,audit_governance,المدير التنفيذي
Chief Financial Officer,audit_governance,المدير المالي
Chief Financial Officer,audit_governance,الرئيس المالي
Chief Financial Officer,audit_governance,المدير المالي التنفيذي
Managing Director,audit_governance,العضو المنتدب
Managing Director,audit_governance,المدير العام
Audit committee,audit_governance,لجنة المراجعة
Audit committee,audit_governance,لجنة التدقيق
External auditor,audit_governance,مراقب الحسابات الخارجي
External auditor,audit_governance,المدقق الخارجي
External auditor,audit_governance,المراجع الخارجي
Auditor's opinion,audit_governance,رأي مراقب الحسابات
Auditor's opinion,audit_governance,رأي المدقق
Unqualified opinion,audit_governance,رأي غير متحفظ
Unqualified opinion,audit_governance,رأي نظيف
Qualified opinion,audit_governance,رأي متحفظ
Qualified opinion,audit_governance,رأي مقيد
Emphasis of matter,audit_governance,فقرة لفت انتباه
Emphasis of matter,audit_governance,فقرة تأكيد أمر
Emphasis of matter,audit_governance,لفت انتباه
Material misstatement,audit_governance,تحريف جوهري
Material misstatement,audit_governance,خطأ جوهري
Going concern,audit_governance,مبدأ الاستمرارية
Going concern,audit_governance,الاستمرارية
Going concern,audit_governance,افتراض الاستمرارية
Related parties,audit_governance,الأطراف ذات العلاقة
Related parties,audit_governance,الأطراف ذوو العلاقة
Related parties,audit_governance,الجهات ذات العلاقة
Related party transactions,audit_governance,معاملات الأطراف ذات العلاقة
Related party transactions,audit_governance,المعاملات مع الأطراف ذات العلاقة
Key management personnel,audit_governance,كبار موظفي الإدارة
Key management personnel,audit_governance,موظفو الإدارة الرئيسيون
Key management personnel,audit_governance,الإدارة العليا
Contingent liabilities,audit_governance,الالتزامات المحتملة
Contingent liabilities,audit_governance,المطلوبات الطارئة
Contingent liabilities,audit_governance,الالتزامات الطارئة
Contingencies and commitments,audit_governance,الالتزامات المحتملة والارتباطات
Contingencies and commitments,audit_governance,الارتباطات والالتزامات المحتملة
Commitments,audit_governance,الارتباطات
Commitments,audit_governance,الالتزامات الرأسمالية
Commitments,audit_governance,التعهدات
Capital commitments,audit_governance,الالتزامات الرأسمالية
Capital commitments,audit_governance,الارتباطات الرأسمالية
Subsequent events,audit_governance,الأحداث اللاحقة
Subsequent events,audit_governance,أحداث لاحقة لتاريخ التقرير
Comparative figures,audit_governance,أرقام المقارنة
Comparative figures,audit_governance,الأرقام المقارنة
Comparative figures,audit_governance,أرقام المقارنة للفترة السابقة
Contingent assets,audit_governance,الأصول المحتملة
Contingent assets,audit_governance,الموجودات المحتملة
Forward contracts,derivatives_treasury,العقود الآجلة
Forward contracts,derivatives_treasury,عقود آجلة
Forward foreign exchange contracts,derivatives_treasury,عقود صرف العملات الآجلة
Forward foreign exchange contracts,derivatives_treasury,العقود الآجلة للعملات الأجنبية
Futures contracts,derivatives_treasury,العقود المستقبلية
Futures contracts,derivatives_treasury,عقود مستقبلية
Options,derivatives_treasury,الخيارات
Options,derivatives_treasury,عقود الخيارات
Options,derivatives_treasury,خيارات
Swaps,derivatives_treasury,المبادلات
Swaps,derivatives_treasury,عقود المبادلة
Swaps,derivatives_treasury,المقايضات
Interest rate swaps,derivatives_treasury,مبادلات أسعار الفائدة
Interest rate swaps,derivatives_treasury,عقود مبادلة أسعار الفائدة
Currency swaps,derivatives_treasury,مبادلات العملات
Currency swaps,derivatives_treasury,عقود مبادلة العملات
Profit rate swaps,derivatives_treasury,مبادلات معدل الربح
Profit rate swaps,derivatives_treasury,عقود مبادلة معدل الربح
Hedging instruments,derivatives_treasury,أدوات التحوط
Hedging instruments,derivatives_treasury,أدوات التغطية
Fair value hedge,derivatives_treasury,تحوط القيمة العادلة
Fair value hedge,derivatives_treasury,تغطية القيمة العادلة
Cash flow hedge,derivatives_treasury,تحوط التدفقات النقدية
Cash flow hedge,derivatives_treasury,تغطية التدفقات النقدية
Net investment hedge,derivatives_treasury,تحوط صافي الاستثمار
Net investment hedge,derivatives_treasury,تغطية صافي الاستثمار
Notional amount,derivatives_treasury,المبلغ الاسمي
Notional amount,derivatives_treasury,القيمة الاسمية
Notional amount,derivatives_treasury,المبلغ الافتراضي
Positive fair value,derivatives_treasury,القيمة العادلة الموجبة
Positive fair value,derivatives_treasury,القيمة العادلة الإيجابية
Negative fair value,derivatives_treasury,القيمة العادلة السالبة
Negative fair value,derivatives_treasury,القيمة العادلة السلبية
Amortised cost,derivatives_treasury,التكلفة المطفأة
Amortised cost,derivatives_treasury,الكلفة المطفأة
Available for sale,derivatives_treasury,المتاحة للبيع
Available for sale,derivatives_treasury,متاح للبيع
Held to maturity,derivatives_treasury,المحتفظ بها حتى الاستحقاق
Held to maturity,derivatives_treasury,محتفظ به حتى الاستحقاق
Held for trading,derivatives_treasury,المحتفظ بها للمتاجرة
Held for trading,derivatives_treasury,محتفظ به للمتاجرة
Fair value hierarchy,derivatives_treasury,التسلسل الهرمي للقيمة العادلة
Fair value hierarchy,derivatives_treasury,مستويات القيمة العادلة
Level 1,derivatives_treasury,المستوى الأول
Level 1,derivatives_treasury,المستوى ١
Level 2,derivatives_treasury,المستوى الثاني
Level 2,derivatives_treasury,المستوى ٢
Level 3,derivatives_treasury,المستوى الثالث
Level 3,derivatives_treasury,المستوى ٣
Credit risk,risk_capital,مخاطر الائتمان
Credit risk,risk_capital,المخاطر الائتمانية
Market risk,risk_capital,مخاطر السوق
Market risk,risk_capital,المخاطر السوقية
Operational risk,risk_capital,المخاطر التشغيلية
Operational risk,risk_capital,مخاطر التشغيل
Liquidity risk,risk_capital,مخاطر السيولة
Liquidity risk,risk_capital,خطر السيولة
Interest rate risk,risk_capital,مخاطر أسعار الفائدة
Interest rate risk,risk_capital,مخاطر معدلات الفائدة
Currency risk,risk_capital,مخاطر العملات
Currency risk,risk_capital,مخاطر أسعار الصرف
Currency risk,risk_capital,مخاطر العملات الأجنبية
Foreign exchange risk,risk_capital,مخاطر صرف العملات الأجنبية
Foreign exchange risk,risk_capital,مخاطر الصرف الأجنبي
Concentration risk,risk_capital,مخاطر التركز
Concentration risk,risk_capital,مخاطر التركيز
Capital adequacy,risk_capital,كفاية رأس المال
Capital adequacy,risk_capital,كفاية رأس المال النظامي
Tier 1 capital,risk_capital,رأس المال من الشريحة الأولى
Tier 1 capital,risk_capital,الشريحة الأولى لرأس المال
Tier 1 capital,risk_capital,رأس المال الأساسي
Tier 2 capital,risk_capital,رأس المال من الشريحة الثانية
Tier 2 capital,risk_capital,الشريحة الثانية لرأس المال
Tier 2 capital,risk_capital,رأس المال المساند
Regulatory capital,risk_capital,رأس المال النظامي
Regulatory capital,risk_capital,رأس المال الرقابي
Leverage ratio,risk_capital,نسبة الرافعة المالية
Leverage ratio,risk_capital,معدل الرافعة المالية
Stage 1,risk_capital,المرحلة الأولى
Stage 1,risk_capital,المرحلة ١
Stage 2,risk_capital,المرحلة الثانية
Stage 2,risk_capital,المرحلة ٢
Stage 3,risk_capital,المرحلة الثالثة
Stage 3,risk_capital,المرحلة ٣
Non-performing loans,risk_capital,القروض المتعثرة
Non-performing loans,risk_capital,القروض غير العاملة
Non-performing loans,risk_capital,القروض غير المنتظمة
Non-performing financing,risk_capital,التمويل المتعثر
Non-performing financing,risk_capital,التمويلات غير العاملة
Past due,risk_capital,المتأخرة
Past due,risk_capital,المتأخرة السداد
Past due,risk_capital,تجاوزت تاريخ الاستحقاق
Past due but not impaired,risk_capital,المتأخرة وغير منخفضة القيمة
Past due but not impaired,risk_capital,متأخرة السداد وغير منخفضة القيمة
Impaired loans,risk_capital,القروض منخفضة القيمة
Impaired loans,risk_capital,القروض المنخفضة القيمة
Collateral,risk_capital,الضمانات
Collateral,risk_capital,الرهونات
Collateral,risk_capital,الضمانات المقدمة
Provision coverage ratio,risk_capital,نسبة تغطية المخصصات
Provision coverage ratio,risk_capital,معدل تغطية المخصصات
Loss given default,risk_capital,الخسارة عند التعثر
Loss given default,risk_capital,الخسارة الناتجة عن التعثر
Probability of default,risk_capital,احتمالية التعثر
Probability of default,risk_capital,احتمال التعثر
Exposure at default,risk_capital,التعرض عند التعثر
Exposure at default,risk_capital,قيمة التعرض عند التعثر
January,dates_periods,يناير
January,dates_periods,كانون الثاني
February,dates_periods,فبراير
February,dates_periods,شباط
March,dates_periods,مارس
March,dates_periods,آذار
April,dates_periods,أبريل
April,dates_periods,نيسان
April,dates_periods,ابريل
May,dates_periods,مايو
May,dates_periods,أيار
June,dates_periods,يونيو
June,dates_periods,حزيران
July,dates_periods,يوليو
July,dates_periods,تموز
August,dates_periods,أغسطس
August,dates_periods,آب
August,dates_periods,اغسطس
September,dates_periods,سبتمبر
September,dates_periods,أيلول
October,dates_periods,أكتوبر
October,dates_periods,تشرين الأول
October,dates_periods,اكتوبر
November,dates_periods,نوفمبر
November,dates_periods,تشرين الثاني
December,dates_periods,ديسمبر
December,dates_periods,كانون الأول
Financial year,dates_periods,السنة المالية
Financial year,dates_periods,العام المالي
Fiscal year,dates_periods,السنة المالية
Fiscal year,dates_periods,السنة الضريبية
Half year,dates_periods,نصف السنة
Half year,dates_periods,النصف سنوي
Half year,dates_periods,نصف سنوي
First half,dates_periods,النصف الأول
First half,dates_periods,النصف الأول من العام
Second half,dates_periods,النصف الثاني
Second half,dates_periods,النصف الثاني من العام
Nine months,dates_periods,التسعة أشهر
Nine months,dates_periods,تسعة أشهر
Period,dates_periods,الفترة
Period,dates_periods,المدة
Comparative period,dates_periods,الفترة المقارنة
Comparative period,dates_periods,فترة المقارنة
During the period,dates_periods,خلال الفترة
During the period,dates_periods,أثناء الفترة
As at the date,dates_periods,كما في تاريخ
As at the date,dates_periods,بتاريخ
Reporting date,dates_periods,تاريخ التقرير
Reporting date,dates_periods,تاريخ إعداد التقرير
Reporting period,dates_periods,فترة التقرير
Reporting period,dates_periods,الفترة المشمولة بالتقرير
Trade receivables and other receivables,general_business,الذمم المدينة التجارية والأخرى
Trade receivables and other receivables,general_business,المدينون التجاريون والآخرون
Trade payables and other payables,general_business,الذمم الدائنة التجارية والأخرى
Trade payables and other payables,general_business,الدائنون التجاريون والآخرون
Accounts receivable,general_business,الذمم المدينة
Accounts receivable,general_business,المدينون
Accounts receivable,general_business,حسابات مدينة
Accounts payable,general_business,الذمم الدائنة
Accounts payable,general_business,الدائنون
Accounts payable,general_business,حسابات دائنة
Allowance for doubtful debts,general_business,مخصص الديون المشكوك في تحصيلها
Allowance for doubtful debts,general_business,مخصص الذمم المشكوك في تحصيلها
Bad debts written off,general_business,الديون المعدومة المشطوبة
Bad debts written off,general_business,الديون المشطوبة
Inventory,general_business,المخزون
Inventory,general_business,البضاعة
Inventory,general_business,بضاعة
Work in progress,general_business,الإنتاج تحت التشغيل
Work in progress,general_business,أعمال تحت التنفيذ
Work in progress,general_business,بضاعة تحت التشغيل
Finished goods,general_business,البضاعة الجاهزة
Finished goods,general_business,المنتجات التامة الصنع
Raw materials,general_business,المواد الخام
Raw materials,general_business,المواد الأولية
Par value,general_business,القيمة الاسمية
Par value,general_business,القيمة الإسمية
Number of shares,general_business,عدد الأسهم
Number of shares,general_business,عدد الأسهم القائمة
Weighted average number of shares,general_business,المتوسط المرجح لعدد الأسهم
Weighted average number of shares,general_business,المتوسط المرجح لعدد الأسهم القائمة
Bonus shares,general_business,أسهم المنحة
Bonus shares,general_business,الأسهم المجانية
Bonus shares,general_business,أسهم مجانية
Rights issue,general_business,إصدار حقوق أولوية
Rights issue,general_business,أسهم حقوق الأولوية
Book value,general_business,القيمة الدفترية
Book value,general_business,القيمة الدفترية للسهم
Market value,general_business,القيمة السوقية
Market value,general_business,القيمة السوقية للسهم
Net realisable value,general_business,صافي القيمة القابلة للتحقق
Net realisable value,general_business,صافي القيمة البيعية
Recoverable amount,general_business,القيمة القابلة للاسترداد
Recoverable amount,general_business,المبلغ القابل للاسترداد
Value in use,general_business,القيمة قيد الاستخدام
Value in use,general_business,القيمة أثناء الاستخدام
Useful life,general_business,العمر الإنتاجي
Useful life,general_business,العمر الافتراضي
Useful life,general_business,العمر الإنتاجي المقدر
Salvage value,general_business,القيمة المتبقية
Salvage value,general_business,قيمة الخردة
Depreciation for the year,general_business,استهلاك السنة
Depreciation for the year,general_business,إهلاك السنة
Accumulated depreciation,general_business,مجمع الاستهلاك
Accumulated depreciation,general_business,الاستهلاك المتراكم
Accumulated depreciation,general_business,مجمع الإهلاك
Amortisation for the year,general_business,إطفاء السنة
Amortisation for the year,general_business,اطفاء السنة
Cost,general_business,التكلفة
Cost,general_business,الكلفة
Additions,general_business,الإضافات
Additions,general_business,إضافات
Disposals,general_business,الاستبعادات
Disposals,general_business,المستبعدات
Disposals,general_business,استبعادات
Transfers,general_business,التحويلات
Transfers,general_business,المحول
Transfers,general_business,تحويلات
Revenue recognition,general_business,الاعتراف بالإيراد
Revenue recognition,general_business,إثبات الإيرادات
Deferred revenue,general_business,الإيرادات المؤجلة
Deferred revenue,general_business,إيرادات مؤجلة
Accrued revenue,general_business,الإيرادات المستحقة
Accrued revenue,general_business,إيرادات مستحقة غير مفوترة
Working capital,general_business,رأس المال العامل
Working capital,general_business,صافي رأس المال العامل
Capital expenditure,general_business,النفقات الرأسمالية
Capital expenditure,general_business,المصروفات الرأسمالية
Capital expenditure,general_business,الإنفاق الرأسمالي
Operating expenditure,general_business,النفقات التشغيلية
Operating expenditure,general_business,المصروفات التشغيلية
Budget,general_business,الموازنة
Budget,general_business,الميزانية التقديرية
Budget,general_business,الموازنة التقديرية
Forecast,general_business,التوقعات
Forecast,general_business,التنبؤات
Forecast,general_business,المتوقع
Actual,general_business,الفعلي
Actual,general_business,المبالغ الفعلية
Variance,general_business,الانحراف
Variance,general_business,الفرق
Variance,general_business,التباين
Reclassification,general_business,إعادة التصنيف
Reclassification,general_business,اعادة التصنيف
Consolidation,general_business,التوحيد
Consolidation,general_business,التجميع
Consolidation,general_business,توحيد القوائم
Elimination,general_business,الاستبعاد
Elimination,general_business,الحذف
Elimination,general_business,استبعاد المعاملات
Adjustment,general_business,التسوية
Adjustment,general_business,التعديل
Adjustment,general_business,تسوية
Estimate,general_business,التقدير
Estimate,general_business,المقدّر
Estimate,general_business,تقدير
Impairment loss,general_business,خسارة انخفاض القيمة
Impairment loss,general_business,خسائر انخفاض القيمة
Depreciation rate,general_business,معدل الاستهلاك
Depreciation rate,general_business,نسبة الاستهلاك
